date	localtime	station	Zone	zoneletter	zonenumber	collab_siteID	collaborator	FL_Region	FL_region_zone	sitecategory	Habitat	depth	depth_m	lat	long	Dist_shore	SCTLD	pro	syn	peuk	hbact	npoc	tn	po4	nh4	silicate	no2	no3	no2no3	temp	dissolvedO2_percent	dissolvedO2	salinity	Metagenomes	Microbiomes	CoralTissue	MicrobiomeANDTissue	Calcified_Macroalgae	Crustose_Coralline_Algae	Cyanobacteria	Fleshy_Macroalgae	Hard_coral	Invertebrates	Non_biological	Other	Other_invertebrates	Seagrass	Soft_coral	Sponge	Turf_Algae	BenthicSurvey	AvgChl	AvgPhaeo
6/5/19	13:47:00	FLA_001	7	H	Zone 7	CRCP_2003	CRCP	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	39	11.9	24.47569	-82.12265	8.14	0	61313	13373	436	275203	74.89	3.23	0.19	0.09	0	0.06	0.14	0.2	NA	NA	NA	NA	FALSE	TRUE	FALSE	TRUE	0.2	0.04	0	15.12	5.13	0	0	0	0.12	0	7.54	10.1	61.75	TRUE	0.120473819	0.039769098
6/5/19	13:20:00	FLA_002	7	H	Zone 7	new site	new site	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	40	12.2	24.46075	-82.19456	10.28	0	46181	6806	394	199575	77.57	3.66	0.18	0.28	0	0.04	0.16	0.2	28.202	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/5/19	16:07:00	FLA_003	7	H	Zone 7	FWC_Site 24	FWC_FWRI	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	33	10.1	24.46533	-82.20256	10.15	0	55069	8747	380	220275	73.14	4.95	0.18	0.04	BD	0.03	0.17	0.2	28.153	103.1	6.5	P	TRUE	TRUE	FALSE	TRUE	2.24	0.24	0.68	26.28	1.04	0	8.85	0	0	0	10.1	4.05	46.51	TRUE	0.169829118	0.066548217
6/5/19	17:17:00	FLA_004	7	H	Zone 7	new site	new site	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	38	11.6	24.47584	-82.12252	8.1	0	51623	17438	394	270534	73.46	5.39	0.18	0.05	0.1	0.03	0.07	0.1	28.437	NA	NA	P	FALSE	FALSE	FALSE	FALSE	1.33	0.4	0.12	23.91	7.35	0	18.56	0	0.08	0	4.26	9.84	34.15	TRUE	NA	NA
6/6/19	9:30:00	FLA_005	8	I	Zone 8	DT_NPS_LH02	DT_NPS	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	58	17.7	24.663086	-82.930989	3.3	0	37013	99211	914	267961	81.33	5.42	0.19	0.08	0.1	0.04	0.26	0.3	NA	NA	NA	NA	FALSE	TRUE	FALSE	TRUE	0.52	1.73	2.7	57.98	25.14	0	0.12	0	0	0	4.43	0.4	6.97	TRUE	0.235129053	0.086905204
6/6/19	9:30:00	FLA_006	8	I	Zone 8	DT_NPS_LH03	DT_NPS	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	58	17.7	24.659835	-82.934149	3.15	0	42539	87919	1209	291277	70.67	4.48	0.2	0.11	0.5	0.03	0.17	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/6/19	11:49:00	FLA_007	8	I	Zone 8	CRCP_2205	CRCP	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	38	11.6	24.62049	-82.92308	0.954	0	43017	110953	1167	272813	71.52	3.92	0.19	0.03	0.3	0.04	0.26	0.3	28.835	99.5	6.19	P	TRUE	TRUE	FALSE	TRUE	1.08	0.24	1.16	15.1	11.46	0	0.6	0	1.24	0	28.25	3.57	37.3	TRUE	0.252872317	0.082352806
6/6/19	10:40:00	FLA_008	8	I	Zone 8	The Maze	FWC CREMP	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	45	13.7	24.609	-82.94963	3.35	0	37111	105680	970	319809	70.07	3.57	0.19	0.25	0.3	0.03	0.17	0.2	28.779	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/6/19	11:00:00	FLA_009	8	I	Zone 8	new site	new site	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	40	12.2	24.61561	-82.92773	1.53	0	21305	141623	633	291473	73.29	6.47	0.33	0.18	1	0.03	0.27	0.3	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/6/19	12:30:00	FLA_010	8	I	Zone 8	CRCP_2250	CRCP	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	43	13.1	24.6088	-82.93291	2.41	0	28153	118041	830	290363	77.55	3.41	0.18	0.04	0.2	0.05	0.25	0.3	29.004	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
